Municipality,sk_0,hg,dsk,sk_maks,Latitude,Longitude,Beta
Aremark,3.0,250,0.5,1000000.0,59.1833,11.6833,4
Askim,3.0,250,0.5,1000000.0,59.5833,11.1667,4
Eidsberg,3.0,250,0.5,1000000.0,59.5167,11.3,4
Fredrikstad,2.5,150,0.5,1000000.0,59.2181,10.9298,4
Halden,3.0,150,0.5,1000000.0,59.1333,11.3833,4
Hobøl,3.5,150,0.5,1000000.0,59.6167,10.9667,4
Hvaler,2.0,150,0.5,1000000.0,59.0333,11.0,4
Marker,3.0,250,0.5,1000000.0,59.4833,11.6667,4
Moss,3.0,150,0.5,1000000.0,59.434,10.6577,4
Rakkestad,3.0,250,0.5,1000000.0,59.4278,11.3472,4
Rygge,3.0,150,0.5,1000000.0,59.3667,10.7833,4
Rømskog,3.0,250,0.5,1000000.0,59.75,11.8333,4
Råde,2.5,150,0.5,1000000.0,59.35,10.85,4
Sarpsborg,3.0,150,0.5,1000000.0,59.2833,11.1167,4
Skiptvet,3.0,250,0.5,1000000.0,59.4833,11.1667,4
Spydeberg,3.0,250,0.5,1000000.0,59.6167,11.0833,4
Trøgstad,3.0,250,0.5,1000000.0,59.6333,11.3167,4
Våler,3.5,250,1.0,6.5,60.65,11.8333,4
Gjerdrum,4.5,250,1.0,6.5,60.0833,11.0333,4
Hurdal,5.0,250,1.0,6.5,60.4333,11.0333,4
Lørenskog,4.0,250,1.0,6.5,59.9167,10.95,4
Nannestad,4.5,250,1.0,6.5,60.25,11.0333,4
Nes,3.5,250,1.0,6.5,60.1167,11.4833,4
Nesodden,3.5,150,1.0,,59.8167,10.6667,4
Oppegård,3.5,150,1.0,,59.8,10.8,4
Rælingen,4.0,250,1.0,6.5,59.9247,11.05,4
Skedsmo,4.0,250,1.0,6.5,59.95,11.05,4
Ski,3.5,250,1.0,6.5,59.7197,10.8356,4
Sørum,4.0,250,1.0,6.5,60.0,11.25,4
Ullensaker,4.5,350,1.0,6.5,60.1419,11.1749,4
Vestby,3.5,150,1.0,,59.5333,10.75,4
Ås,3.5,150,1.0,,59.6636,10.79,4
Alvdal,4.0,650,1.0,6.5,62.1075,10.6292,4
Eidskog,3.5,250,1.0,6.5,60.05,12.1333,4
Elverum,4.0,250,1.0,6.5,60.8833,11.5667,4
Engerdal,4.0,650,1.0,6.5,61.5667,11.9167,4
Folldal,4.0,850,1.0,6.5,62.1333,9.9833,4
Grue,3.5,250,1.0,6.5,60.4333,12.3,4
Hamar,3.5,150,1.0,,60.7945,11.067,4
Kongsvinger,3.5,150,1.0,,60.19,12.0,4
Løten,3.5,150,1.0,,60.8167,11.3333,4
Nord-Odal,3.5,250,1.0,6.5,60.4167,11.5667,4
Os,4.0,650,1.0,6.5,62.5,11.2167,4
Rendalen,4.0,650,1.0,6.5,61.8833,11.0833,4
Ringsaker,3.5,150,1.0,,60.95,10.9167,4
Stange,3.5,150,1.0,,60.7167,11.2,4
Stor-Elvdal,4.0,650,1.0,6.5,61.6333,11.0,4
Sør-Odal,3.5,150,1.0,,60.25,11.5667,4
Tolga,4.0,650,1.0,6.5,62.4167,10.9833,4
Trysil,4.0,650,1.0,6.5,61.3167,12.2667,4
Tynset,4.0,650,1.0,6.5,62.275,10.7761,4
Åmot,4.0,250,1.0,6.5,61.0,11.5,4
Åsnes,3.5,250,1.0,6.5,60.5667,12.0,4
